experimento,dense_config,optimizer,mean_val_loss_last,std_val_loss_last,mean_val_mae_last,std_val_mae_last,final_val_loss,final_val_mae,best_val_loss,best_val_loss_epoch
64_32_relu_sgd,64_32_relu,SGD,0.0034951734822243454,5.9177896655651256e-06,0.04105614200234413,6.090720831578303e-05,0.0034880146849900484,0.04098257049918175,0.0034880146849900484,30
32_relu_sgd,32_relu,SGD,0.0034961663652211426,6.023367958456391e-06,0.04101395979523659,4.6979825526516434e-05,0.0034889797680079937,0.04095811769366264,0.0034889797680079937,30
128_64_relu_sgd,128_64_relu,SGD,0.003499459382146597,7.01633873603852e-06,0.041061867773532865,6.760123680230806e-05,0.0034908622037619352,0.040978435426950455,0.0034908622037619352,30
64_relu_sgd,64_relu,SGD,0.0035210018511861564,4.8936083398812276e-06,0.04128554612398148,4.838248297737665e-05,0.0035151606425642967,0.04122767969965935,0.0035151606425642967,30
32_relu_rmsprop,32_relu,RMSprop,0.003528247307986021,9.647949338672602e-06,0.04093399718403816,0.00011362798429734796,0.0035256599076092243,0.04082709178328514,0.003500149818137288,22
64_32_relu_adam,64_32_relu,Adam,0.003562911646440625,0.0005060296184954028,0.043064703792333604,0.004372225331402105,0.003326797392219305,0.0411282554268837,0.0033010703045874834,28
64_relu_rmsprop,64_relu,RMSprop,0.0035753492265939713,8.964535185503742e-06,0.04097115397453308,5.3565008258931157e-05,0.0035870217252522707,0.04101848602294922,0.0035118849482387304,16
64_32_relu_rmsprop,64_32_relu,RMSprop,0.003634927561506629,2.9215932898736702e-06,0.04132833182811737,2.0680193165930193e-05,0.003634506370872259,0.041348423808813095,0.003596639260649681,9
128_64_relu_rmsprop,128_64_relu,RMSprop,0.003641910897567868,3.0042159667436167e-06,0.04158809185028076,4.108831168324149e-05,0.0036455413792282343,0.041616279631853104,0.0036127546336501837,13
64_relu_adam,64_relu,Adam,0.0046006557531654835,0.0003663949615286012,0.05139648988842964,0.0029486445528089495,0.0049747261218726635,0.05419447273015976,0.0035867688711732626,6
128_64_relu_adam,128_64_relu,Adam,0.005229868367314339,0.0014665340138729276,0.055305443704128265,0.010932123033410941,0.007184694521129131,0.06933868676424026,0.003470830386504531,4
32_relu_adam,32_relu,Adam,0.00674828914925456,0.0027323187437230953,0.06498658955097199,0.015877466713005384,0.011180312372744083,0.08999868482351303,0.003559634555131197,6
