loss,mae
0.057683806866407394,0.15192924439907074
0.004674940835684538,0.04725012183189392
0.004454050678759813,0.04535134136676788
0.004294984042644501,0.04389214888215065
0.004179441370069981,0.04275216907262802
0.004092099145054817,0.04185636714100838
0.004023128189146519,0.04112429916858673
0.003969263751059771,0.04052864760160446
0.0039283521473407745,0.0400552861392498
0.0038965335115790367,0.039677444845438004
0.00387139362283051,0.039377640932798386
0.0038509215228259563,0.03912869095802307
0.003833983326330781,0.038916442543268204
0.0038199129048734903,0.03873257711529732
0.003808135399594903,0.0385766476392746
0.003798274789005518,0.03844566270709038
0.0037899804301559925,0.038334641605615616
0.0037829745560884476,0.03824039548635483
0.003777060192078352,0.038162387907505035
0.0037719905376434326,0.03809714317321777
0.003767615184187889,0.03804261237382889
0.003763845656067133,0.03799673169851303
0.0037605715915560722,0.03795766085386276
0.003757693339139223,0.03792440518736839
0.003755110315978527,0.03789520636200905
0.003752786433324218,0.03787045180797577
0.0037506839726120234,0.03784855455160141
0.0037487780209630728,0.0378289669752121
0.003747077425941825,0.037811726331710815
0.003745524911209941,0.037796542048454285
